Artist Name,Album/Single Title,Release Date,Record Label,Subsidiary Label,Genre,Release Type,Units Sold (Millions),Streaming Numbers (Billions),Grammy Awards,Chart Peak (Billboard 200/Hot 100),Regional Marketing Campaigns,Local Artist Collaborations,Film/Media Tie-ins,
Kendrick Lamar,DAMN.,2017-04-14,Universal Music Group,Top Dawg Entertainment,Hip-Hop/Rap,Album,4.2,8.9,5,1,Hip-hop channel features,None,None,
SZA,Ctrl,2017-06-09,Sony Music Entertainment,Top Dawg Entertainment,R&B,Album,2.7,7.8,0,3,Social media influencer collaborations,None,None,
Imagine Dragons,Evolve,2017-06-23,Universal Music Group,Interscope Records,Alternative/Indie,Album,3.9,8.8,1,2,Evolve Tour India 2018,None,Believer used in multiple ads,
The War on Drugs,A Deeper Understanding,2017-08-25,Warner Music Group,Atlantic Records,Alternative/Indie,Album,0.4,1.8,1,10,Niche music blogs,None,None,
Camila Cabello,Camila,2018-01-12,Sony Music Entertainment,Epic Records,Pop,Album,2.5,7.2,0,1,Havana dance challenges,None,None,
Cardi B,Invasion of Privacy,2018-04-06,Warner Music Group,Atlantic Records,Hip-Hop/Rap,Album,3.2,8.1,1,1,Instagram campaigns,None,None,
J. Cole,KOD,2018-04-20,Universal Music Group,Dreamville Records,Hip-Hop/Rap,Album,2.1,6.5,0,1,Streaming platform promotions,None,None,
Arctic Monkeys,Tranquility Base Hotel & Casino,2018-05-11,Warner Music Group,Domino Recording Company,Alternative/Indie,Album,0.9,2.9,0,8,Indie music circles,None,None,
Shawn Mendes,Shawn Mendes,2018-05-25,Universal Music Group,Island Records,Pop,Album,2.8,7.9,0,1,Fan events in Delhi,None,None,
Travis Scott,Astroworld,2018-08-03,Sony Music Entertainment,Epic Records,Hip-Hop/Rap,Album,3.5,9.8,0,1,Streetwear collaborations,None,None,
Lady Gaga,A Star Is Born (soundtrack),2018-10-05,Universal Music Group,Interscope Records,Soundtrack,Album,6,7.9,4,1,Multiplex promotions,None,Shallow in film trailers,
Rosalía,El Mal Querer,2018-11-02,Sony Music Entertainment,Columbia Records,Latin,Album,0.8,4.5,5,1,Partnerships with dance schools,None,None,
21 Savage,I Am > I Was,2018-12-21,Sony Music Entertainment,Epic Records,Hip-Hop/Rap,Album,1.7,6.3,1,1,Targeted digital ads,None,None,
Ariana Grande,Thank U,Next,2019-02-08,Universal Music Group,Republic Records,Pop,Album,3.6,11.2,1,1,TikTok challenges,None,None
Billie Eilish,When We All Fall Asleep,Where Do We Go?,2019-03-29,Universal Music Group,Interscope Records,Alternative/Indie,Album,4.5,11.8,5,1,Youth-focused campaigns,None,None
Lizzo,Cuz I Love You,2019-04-19,Warner Music Group,Atlantic Records,R&B,Album,1.5,5.8,3,4,Body positivity campaigns,None,None,
Vampire Weekend,Father of the Bride,2019-05-03,Sony Music Entertainment,Columbia Records,Alternative/Indie,Album,0.6,2.2,1,1,Music festival promotions,None,None,
Bon Iver,i,i,2019-08-09,Universal Music Group,Jagjaguwar,Alternative/Indie,Album,0.3,1.5,0,26,Niche publication features,None,None
Post Malone,Hollywood's Bleeding,2019-09-06,Universal Music Group,Republic Records,Hip-Hop/Rap,Album,3.9,10.1,0,1,Streaming playlist takeovers,None,None,
Blink-182,Nine,2019-09-20,Sony Music Entertainment,Columbia Records,Alternative/Indie,Album,0.5,1.5,0,3,Rock radio airplay,None,None,
DaBaby,Kirk,2019-09-27,Universal Music Group,Interscope Records,Hip-Hop/Rap,Album,1.3,5.5,0,1,Viral dance trends,None,None,
Roddy Ricch,Please Excuse Me for Being Antisocial,2019-12-06,Warner Music Group,Atlantic Records,Hip-Hop/Rap,Album,2.1,7.1,1,1,Hip-hop community outreach,None,None,
Harry Styles,Fine Line,2019-12-13,Sony Music Entertainment,Columbia Records,Pop,Album,3.7,9.5,1,1,Fashion magazine features,None,None,
Halsey,Manic,2020-01-17,Universal Music Group,Capitol Records,Pop,Album,1.9,6.1,0,2,Mental health awareness tie-ins,None,None,
Tame Impala,The Slow Rush,2020-02-14,Universal Music Group,Interscope Records,Alternative/Indie,Album,0.7,2.5,1,3,Psychedelic art collaborations,None,None,
The Weeknd,After Hours,2020-03-20,Universal Music Group,Republic Records,R&B,Album,3.5,12.1,0,1,Short film series promotion,None,Blinding Lights in ads,
Dua Lipa,Future Nostalgia,2020-03-27,Warner Music Group,Warner Records,Pop,Album,2.8,10.2,1,3,Virtual concerts in Asia,None,None,
The Strokes,The New Abnormal,2020-04-10,Sony Music Entertainment,RCA Records,Alternative/Indie,Album,0.4,1.8,1,8,Indie radio promotion,None,None,
Pop Smoke,Shoot for the Stars,Aim for the Moon,2020-07-03,Universal Music Group,Republic Records,Hip-Hop/Rap,Album,2.5,8.1,0,1,Posthumous tributes and features,None,None
Megan Thee Stallion,Good News,2020-11-20,Warner Music Group,300 Entertainment,Hip-Hop/Rap,Album,1.2,5.2,3,2,#BodyOdyChallenge on social media,None,None,
AC/DC,Power Up,2020-11-13,Sony Music Entertainment,Columbia Records,Rock,Album,1.4,1.2,0,1,Classic rock radio campaigns,None,None,
Weezer,OK Human,2021-01-29,Warner Music Group,Atlantic Records,Alternative/Indie,Album,0.2,0.6,0,41,Orchestral performance streams,None,None,
Foo Fighters,Medicine at Midnight,2021-02-05,Sony Music Entertainment,RCA Records,Rock,Album,0.5,0.8,0,3,Global virtual listening parties,None,None,
Kings of Leon,When You See Yourself,2021-03-05,Sony Music Entertainment,RCA Records,Alternative/Indie,Album,0.3,0.9,0,11,NFT release campaign,None,None,
Olivia Rodrigo,SOUR,2021-05-21,Universal Music Group,Geffen Records,Pop,Album,3.1,10.8,3,1,Gen Z targeted social media,None,None,
Lil Nas X,Montero,2021-09-17,Sony Music Entertainment,Columbia Records,Pop,Album,1.8,8.2,2,2,Provocative music videos,None,None,
Coldplay,Music of the Spheres,2021-10-15,Warner Music Group,Parlophone,Pop,Album,1.1,3.5,0,4,Collaboration with BTS,None,None,
Ed Sheeran,=,2021-10-29,Warner Music Group,Atlantic Records,Pop,Album,1.8,4.8,0,1,Partnership with Indian artists,Armaan Malik,None,
Silk Sonic,An Evening with Silk Sonic,2021-11-12,Warner Music Group,Atlantic Records,R&B,Album,1.2,4.1,4,2,Retro-themed marketing,None,None,
Adele,30,2021-11-19,Sony Music Entertainment,Columbia Records,Pop,Album,5.5,6.2,1,1,Global TV specials,None,None,
Bad Bunny,Un Verano Sin Ti,2022-05-06,Sony Music Entertainment,Rimas/The Orchard,Latin,Album,3.5,15,1,1,Targeted promotions in urban areas,None,None,
Kendrick Lamar,Mr. Morale & the Big Steppers,2022-05-13,Universal Music Group,pgLang/Interscope,Hip-Hop/Rap,Album,2,7.5,1,1,Theatrical release of short film,None,None,
Harry Styles,Harry's House,2022-05-20,Sony Music Entertainment,Columbia Records,Pop,Album,2.8,10,2,1,Love On Tour Asia leg,None,None,
Lizzo,Special,2022-07-15,Warner Music Group,Atlantic Records,Pop/R&B,Album,1.5,5,1,2,Partnerships with local influencers,None,None,
Beyoncé,Renaissance,2022-07-29,Sony Music Entertainment,Parkwood/Columbia,Dance/R&B,Album,2.5,8,2,1,Club-focused release parties,None,None,
Taylor Swift,Midnights,2022-10-21,Universal Music Group,Republic Records,Pop,Album,6,14,2,1,#TSTheErasTour social media hype,None,None,
SZA,SOS,2022-12-09,Sony Music Entertainment,RCA Records,R&B,Album,4,16,3,1,Viral TikTok sounds,None,None,
Miley Cyrus,Flowers,2023-01-12,Sony Music Entertainment,Columbia Records,Pop,Single,14,2.9,2,1,Self-love anthem campaigns,None,None,
Morgan Wallen,One Thing at a Time,2023-03-03,Universal Music Group,Republic Records,Country,Album,5.5,18,0,1,Limited push in SEA,None,None,
Billie Eilish,What Was I Made For?,2023-07-13,Universal Music Group,Interscope Records,Pop,Single,8,2,2,14,Global campaign with Barbie movie,None,Barbie (Movie),
Travis Scott,Utopia,2023-07-28,Sony Music Entertainment,Epic Records,Hip-Hop/Rap,Album,2.5,9,0,1,Album launch event in Egypt,None,None,
Olivia Rodrigo,Guts,2023-09-08,Universal Music Group,Geffen Records,Pop,Album,2,8.5,1,1,GUTS world tour Asia dates,None,None,
Chappell Roan,The Rise and Fall of a Midwest Princess,2023-09-22,Universal Music Group,Island Records,Pop,Album,1.5,6.5,1,15,Pride event performances,None,None,
Taylor Swift,1989 (Taylor's Version),2023-10-27,Universal Music Group,Republic Records,Pop,Album,4,10,0,1,Global listening parties,None,None,
Ariana Grande,Eternal Sunshine,2024-03-08,Universal Music Group,Republic Records,Pop,Album,1.9,7.7,1,1,Music video storyline promotion,None,None,
Kacey Musgraves,Deeper Well,2024-03-15,Universal Music Group,Interscope/MCA Nashville,Country,Album,0.7,3,1,2,Minimal SEA promotion,None,None,
Future & Metro Boomin,We Don't Trust You,2024-03-22,Sony Music Entertainment,Epic Records,Hip-Hop/Rap,Album,2,8,1,1,Viral 'Like That' challenge,None,None,
Beyoncé,Cowboy Carter,2024-03-29,Sony Music Entertainment,Parkwood/Columbia,Country,Album,3,11,3,1,Genre-bending marketing push,None,None,
Sabrina Carpenter,Espresso,2024-04-11,Universal Music Group,Island Records,Pop,Single,13,2.8,1,3,Coachella performance boost,None,None,
Shaboozey,A Bar Song (Tipsy),2024-04-12,Warner Music Group,Empire,Country,Single,11,2.5,0,1,Cross-genre playlisting,None,None,
Taylor Swift,The Tortured Poets Department,2024-04-19,Universal Music Group,Republic Records,Pop,Album,7,20,1,1,Surprise double album drop,None,None,
Kendrick Lamar,Not Like Us,2024-05-04,Universal Music Group,Interscope Records,Hip-Hop/Rap,Single,15,3,2,1,Viral rap battle promotion,None,None,
Billie Eilish,Hit Me Hard and Soft,2024-05-17,Universal Music Group,Interscope Records,Alternative/Indie,Album,2.2,8.8,1,2,Sustainable release campaign,None,None,
Charli XCX,Brat,2024-06-07,Warner Music Group,Atlantic Records,Dance/Electronic,Album,0.8,4,1,24,Online 'Brat' green aesthetic,None,None,
Eminem,The Death of Slim Shady (Coup de Grâce),2024-07-12,Universal Music Group,Interscope Records,Hip-Hop/Rap,Album,1.5,6,0,1,Houdini' magic-themed videos,None,None,
Sabrina Carpenter,Short n' Sweet,2024-08-23,Universal Music Group,Island Records,Pop,Album,2.5,9.5,2,1,Viral 'Please Please Please' video,None,None,
Coldplay,Moon Music,2024-10-04,Warner Music Group,Parlophone/Atlantic,Pop/Rock,Album,1,4.5,0,1,Eco-friendly album production,None,None,
Tyler,the Creator,Chromakopia,2024-10-25,Sony Music Entertainment,Columbia Records,Hip-Hop/Rap,Album,1,5,0,1,Art installation pop-ups,None,None
Kendrick Lamar,GNX,2024-11-22,Universal Music Group,Interscope Records,Hip-Hop/Rap,Album,1.8,7,4,1,"Surprise release, minimal pre-hype",None,None,
